id,property_type,address,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming pool,garden,air_conditioning ,heating,log_price,city-neighborhood
102975465,Flat / apartment,Sant Gervasi - La Bonanova,Sarrià-Sant Gervasi,Barcelona,1390000.0,203,4,3,6,1973.0,True,True,True,False,True,False,True,False,False,True,True,14.144815024531075,Barcelona - Sarrià-Sant Gervasi
88370332,Flat / apartment,Sant Pere - Santa Caterina i la Ribera,Ciutat Vella,Barcelona,245000.0,60,2,1,2,1888.0,True,False,False,False,True,False,False,False,False,True,True,12.409017571151187,Barcelona - Ciutat Vella
102481323,Flat / apartment,calle de Ventalló,El Camp d'En Grassot i Gràcia Nova,Barcelona,419000.0,75,2,1,2,2001.0,True,True,True,False,True,False,False,False,False,False,True,12.945628585536271,Barcelona - El Camp d'En Grassot i Gràcia Nova
103000148,Flat / apartment,"calle Nou de la Rambla, 121",El Poble Sec - Parc de Montjuïc,Barcelona,325000.0,76,3,1,1,1936.0,False,True,False,True,True,False,False,False,False,False,True,12.691583538230216,Barcelona - El Poble Sec - Parc de Montjuïc
98730000,Flat / apartment,Doctor Pages,Santa Rosa - Can Mariner,Santa Coloma de Gramenet,107500.0,73,3,1,2,1969.0,True,False,False,True,True,True,False,False,False,False,True,11.58525542883217,Santa Coloma de Gramenet - Santa Rosa - Can Mariner
103096187,Flat / apartment,calle de Viladomat,Sant Antoni,Barcelona,400000.0,89,4,2,3,1975.0,False,True,False,False,True,True,False,False,False,False,True,12.899222326086994,Barcelona - Sant Antoni
101600947,Flat / apartment,"calle de Sicília, 83",Riera Alta - Llatí,Santa Coloma de Gramenet,135000.0,79,3,1,0,1971.0,False,False,False,False,True,False,False,False,False,False,True,11.81303746480054,Santa Coloma de Gramenet - Riera Alta - Llatí
104109884,Flat / apartment,El Poble Sec - Parc de Montjuïc,Sants-Montjuïc,Barcelona,490000.0,75,2,1,6,1950.0,True,True,True,False,True,False,False,False,False,True,True,13.102162710901052,Barcelona - Sants-Montjuïc
102819714,Flat / apartment,Oristany,El Besòs,Barcelona,85000.0,57,2,1,1,1961.0,True,False,False,False,True,False,False,False,False,True,True,11.350418300109132,Barcelona - El Besòs
104012393,Flat / apartment,Gran Vía de Carlos III,Les Corts,Barcelona,690000.0,120,3,2,6,1970.0,True,True,True,True,True,False,False,False,False,True,True,13.444448325847754,Barcelona - Les Corts
104319957,Flat / apartment,calle Saurí,Centre,Hospitalet de Llobregat,132000.0,43,3,1,1,1970.0,True,False,False,True,True,True,False,False,False,False,True,11.790564777297387,Hospitalet de Llobregat - Centre
