"Longitude","Latitude","Type"
2.244209,41.449132,"Metro"
2.186173,41.410117,"Metro"
2.186554,41.4101,"Metro"
2.182802,41.407068,"Metro"
2.182167,41.407271,"Metro"
2.182557,41.407338,"Metro"
2.23404,41.440639,"Metro"
2.234255,41.441113,"Metro"
2.233988,41.44129,"Metro"
2.206689,41.423827,"Metro"
2.180022,41.400331,"Metro"
2.179581,41.40018,"Metro"
2.180037,41.400087,"Metro"
2.168228,41.375231,"Metro"
2.167765,41.374796,"Metro"
2.167579,41.375091,"Metro"
2.167762,41.389284,"Metro"
2.168735,41.389295,"Metro"
2.16833,41.389533,"Metro"
2.23821,41.444591,"Metro"
2.239146,41.445295,"Metro"
2.238942,41.444538,"Metro"
2.238365,41.44515,"Metro"
2.175562,41.403847,"Metro"
2.176315,41.404257,"Metro"
2.162901,41.37916,"Metro"
2.163172,41.380689,"Metro"
2.163409,41.37899,"Metro"
2.163015,41.379953,"Metro"
2.201262,41.419459,"Metro"
2.200095,41.418604,"Metro"
2.200601,41.419306,"Metro"
2.228147,41.435342,"Metro"
2.228502,41.435868,"Metro"
2.227784,41.435516,"Metro"
2.175485,41.394285,"Metro"
2.174676,41.394956,"Metro"
2.174591,41.394624,"Metro"
2.163699,41.385021,"Metro"
2.163681,41.384514,"Metro"
2.16414,41.384844,"Metro"
2.163252,41.385015,"Metro"
2.209904,41.430056,"Metro"
2.21027,41.429935,"Metro"
2.209632,41.430299,"Metro"
2.142987,41.424923,"Metro"
2.142012,41.4251,"Metro"
2.18295,41.449264,"Metro"
2.165196,41.441671,"Metro"
2.166353,41.441845,"Metro"
2.166078,41.442024,"Metro"
2.169571,41.385366,"Metro"
2.170725,41.38604,"Metro"
2.170075,41.385531,"Metro"
2.169714,41.385946,"Metro"
2.170344,41.386286,"Metro"
2.160122,41.396315,"Metro"
2.160904,41.395745,"Metro"
2.160499,41.395422,"Metro"
2.159713,41.39611,"Metro"
2.160473,41.395755,"Metro"
2.175556,41.376673,"Metro"
2.175987,41.377112,"Metro"
2.176443,41.3772,"Metro"
2.176285,41.376817,"Metro"
2.149829,41.374513,"Metro"
2.150171,41.374826,"Metro"
2.150029,41.375363,"Metro"
2.14909,41.374291,"Metro"
2.150301,41.37516,"Metro"
2.152798,41.402597,"Metro"
2.152815,41.402297,"Metro"
2.130847,41.38397,"Metro"
2.130678,41.384233,"Metro"
2.131389,41.384545,"Metro"
2.149572,41.40611,"Metro"
2.150391,41.406599,"Metro"
2.172794,41.381722,"Metro"
2.173507,41.380969,"Metro"
2.17353,41.380666,"Metro"
2.126495,41.387932,"Metro"
2.126135,41.388261,"Metro"
2.127857,41.388357,"Metro"
2.126304,41.388204,"Metro"
2.144554,41.430627,"Metro"
2.145257,41.43056,"Metro"
2.145191,41.430847,"Metro"
2.147798,41.434855,"Metro"
2.148557,41.435325,"Metro"
2.147015,41.435432,"Metro"
2.147496,41.435235,"Metro"
2.118013,41.385808,"Metro"
2.117869,41.386116,"Metro"
2.117872,41.385906,"Metro"
2.170083,41.374728,"Metro"
2.170433,41.375177,"Metro"
2.170718,41.375079,"Metro"
2.165242,41.392217,"Metro"
2.164802,41.391905,"Metro"
2.165646,41.391351,"Metro"
2.164871,41.392581,"Metro"
2.164453,41.392328,"Metro"
2.16457,41.392896,"Metro"
2.140978,41.417691,"Metro"
2.140979,41.417205,"Metro"
2.140751,41.417963,"Metro"
2.13621,41.382176,"Metro"
2.136549,41.382673,"Metro"
2.16169,41.375204,"Metro"
2.161109,41.375204,"Metro"
2.158936,41.37487,"Metro"
2.158822,41.37522,"Metro"
2.15988,41.375147,"Metro"
2.17602,41.446933,"Metro"
2.177118,41.44795,"Metro"
2.175017,41.446909,"Metro"
2.176252,41.447394,"Metro"
2.142019,41.381157,"Metro"
2.139887,41.381979,"Metro"
2.141603,41.380858,"Metro"
2.140542,41.382298,"Metro"
2.141512,41.381522,"Metro"
2.146052,41.378249,"Metro"
2.145225,41.378805,"Metro"
2.144456,41.378852,"Metro"
2.145436,41.378064,"Metro"
2.145478,41.378565,"Metro"
2.184187,41.449312,"Metro"
2.18472,41.4493,"Metro"
2.184457,41.449665,"Metro"
2.184161,41.449514,"Metro"
2.142547,41.425262,"Metro"
2.144798,41.411753,"Metro"
2.144863,41.411461,"Metro"
2.145084,41.411401,"Metro"
2.157006,41.438128,"Metro"
2.156392,41.437571,"Metro"
2.111704,41.384208,"Metro"
2.111621,41.384639,"Metro"
2.1104,41.384138,"Metro"
2.181619,41.44867,"Metro"
2.182475,41.449285,"Metro"
2.17722,41.424489,"Metro"
2.166884,41.412047,"Metro"
2.16623,41.412431,"Metro"
2.165088,41.412123,"Metro"
2.166162,41.411775,"Metro"
2.185811,41.382237,"Metro"
2.18566,41.382674,"Metro"
2.217105,41.414575,"Metro"
2.215632,41.415468,"Metro"
2.215688,41.415007,"Metro"
2.210317,41.420291,"Metro"
2.191575,41.394936,"Metro"
2.192791,41.395438,"Metro"
2.192179,41.395239,"Metro"
2.191499,41.395301,"Metro"
2.193191,41.38821,"Metro"
2.193327,41.38792,"Metro"
2.192713,41.388147,"Metro"
2.215909,41.41174,"Metro"
2.217331,41.412265,"Metro"
2.216969,41.411963,"Metro"
2.170859,41.394823,"Metro"
2.171334,41.394796,"Metro"
2.171406,41.39526,"Metro"
2.174241,41.416004,"Metro"
2.174437,41.416378,"Metro"
2.174535,41.415996,"Metro"
2.178343,41.384137,"Metro"
2.179204,41.383774,"Metro"
2.179125,41.383984,"Metro"
2.162763,41.406051,"Metro"
2.163163,41.406001,"Metro"
2.163315,41.406523,"Metro"
2.206472,41.423961,"Metro"
2.19746,41.399026,"Metro"
2.197247,41.399257,"Metro"
2.172883,41.436715,"Metro"
2.173684,41.43758,"Metro"
2.173953,41.437178,"Metro"
2.173484,41.437215,"Metro"
2.177349,41.422701,"Metro"
2.177694,41.424269,"Metro"
2.167775,41.389664,"Metro"
2.167682,41.389615,"Metro"
2.202855,41.403481,"Metro"
2.203212,41.40344,"Metro"
2.209671,41.408202,"Metro"
2.208411,41.407903,"Metro"
2.209959,41.408155,"Metro"
2.172613,41.388771,"Metro"
2.174157,41.387564,"Metro"
2.173104,41.388481,"Metro"
2.168669,41.39999,"Metro"
2.168592,41.40017,"Metro"
2.178458,41.443382,"Metro"
2.178826,41.444145,"Metro"
2.178906,41.443928,"Metro"
2.186497,41.420554,"Metro"
2.126019,41.375495,"Metro"
2.125579,41.375701,"Metro"
2.128135,41.375637,"Metro"
2.127313,41.375605,"Metro"
2.181742,41.415335,"Metro"
2.181114,41.414798,"Metro"
2.180938,41.414999,"Metro"
2.090782,41.366055,"Metro"
2.091263,41.366148,"Metro"
2.099888,41.371578,"Metro"
2.099238,41.371318,"Metro"
2.120049,41.375998,"Metro"
2.118297,41.375791,"Metro"
2.121098,41.37556,"Metro"
2.120678,41.375948,"Metro"
2.180781,41.423505,"Metro"
2.182124,41.423447,"Metro"
2.181609,41.423528,"Metro"
2.072672,41.356107,"Metro"
2.072404,41.356151,"Metro"
2.159106,41.394536,"Metro"
2.158487,41.394451,"Metro"
2.15916,41.394887,"Metro"
2.155013,41.423558,"Metro"
2.156073,41.425418,"Metro"
2.155126,41.424597,"Metro"
2.150142,41.420977,"Metro"
